Season,Week,Team ID,Team Name,Opponent ID,Opponent Name,Score,Opponent Score,Is Home,Is Winner,Is Playoff,Is Consolation,Is Bye Week
2021,1,8,"Russ Agholorder a Mcaffé, CHARK",7.0,Ballen On A Budget,95.64,87.4,True,True,False,False,False
2021,1,7,Ballen On A Budget,8.0,"Russ Agholorder a Mcaffé, CHARK",87.4,95.64,False,False,False,False,False
2021,1,2,Lower  Bottoms,12.0,Its literally  too easy,86.92,138.9,True,False,False,False,False
2021,1,12,Its literally  too easy,2.0,Lower  Bottoms,138.9,86.92,False,True,False,False,False
2021,1,9,Fire up the  Double Darrell,3.0,My Hardman  Hurts herButker,89.78,56.66,True,True,False,False,False
2021,1,3,My Hardman  Hurts herButker,9.0,Fire up the  Double Darrell,56.66,89.78,False,False,False,False,False
2021,1,5,Dallas Buyers CHLUBB,10.0,Rectum Wrecker$$$,119.56,105.44,True,True,False,False,False
2021,1,10,Rectum Wrecker$$$,5.0,Dallas Buyers CHLUBB,105.44,119.56,False,False,False,False,False
2021,1,4,Country Kitchen Buffet,1.0,Mr. Commish Sir,125.52,90.18,True,True,False,False,False
2021,1,1,Mr. Commish Sir,4.0,Country Kitchen Buffet,90.18,125.52,False,False,False,False,False
2021,1,6,Andrew Luck Memorial Squad,11.0,Gotta get Swifty,72.64,96.5,True,False,False,False,False
2021,1,11,Gotta get Swifty,6.0,Andrew Luck Memorial Squad,96.5,72.64,False,True,False,False,False
2021,2,7,Ballen On A Budget,12.0,Its literally  too easy,86.86,93.64,True,False,False,False,False
2021,2,12,Its literally  too easy,7.0,Ballen On A Budget,93.64,86.86,False,True,False,False,False
2021,2,3,My Hardman  Hurts herButker,8.0,"Russ Agholorder a Mcaffé, CHARK",119.3,106.02,True,True,False,False,False
2021,2,8,"Russ Agholorder a Mcaffé, CHARK",3.0,My Hardman  Hurts herButker,106.02,119.3,False,False,False,False,False
2021,2,10,Rectum Wrecker$$$,2.0,Lower  Bottoms,112.4,84.12,True,True,False,False,False
