Season,Week,Team ID,Team Name,Opponent ID,Opponent Name,Score,Opponent Score,Is Home,Is Winner,Is Playoff,Is Consolation,Is Bye Week
2014,1,5,Sanders could  save the 97%,1.0,Off In Church,90.52,95.08,True,False,False,False,False
2014,1,1,Off In Church,5.0,Sanders could  save the 97%,95.08,90.52,False,True,False,False,False
2014,1,11,WE R MARSHALL,6.0,I hope we Win,84.46,94.9,True,False,False,False,False
2014,1,6,I hope we Win,11.0,WE R MARSHALL,94.9,84.46,False,True,False,False,False
2014,1,9,ODELL BECKHAM,8.0,ALL GORDON'S GO!,98.6,129.84,True,False,False,False,False
2014,1,8,ALL GORDON'S GO!,9.0,ODELL BECKHAM,129.84,98.6,False,True,False,False,False
2014,1,3,Fuck Salt,2.0,Tulane !,78.24,78.02,True,True,False,False,False
2014,1,2,Tulane !,3.0,Fuck Salt,78.02,78.24,False,False,False,False,False
2014,1,12,NCS Champion,4.0,SHOW ME THE MONEY ,111.6,87.14,True,True,False,False,False
2014,1,4,SHOW ME THE MONEY ,12.0,NCS Champion,87.14,111.6,False,False,False,False,False
2014,1,10,Rectum Wreckers,7.0,Last  Place,99.74,75.24,True,True,False,False,False
2014,1,7,Last  Place,10.0,Rectum Wreckers,75.24,99.74,False,False,False,False,False
2014,2,1,Off In Church,6.0,I hope we Win,104.08,94.18,True,True,False,False,False
2014,2,6,I hope we Win,1.0,Off In Church,94.18,104.08,False,False,False,False,False
2014,2,8,ALL GORDON'S GO!,5.0,Sanders could  save the 97%,86.58,81.56,True,True,False,False,False
2014,2,5,Sanders could  save the 97%,8.0,ALL GORDON'S GO!,81.56,86.58,False,False,False,False,False
2014,2,9,ODELL BECKHAM,11.0,WE R MARSHALL,114.62,99.28,True,True,False,False,False
2014,2,11,WE R MARSHALL,9.0,ODELL BECKHAM,99.28,114.62,False,False,False,False,False
2014,2,2,Tulane !,4.0,SHOW ME THE MONEY ,67.78,107.32,True,False,False,False,False
2014,2,4,SHOW ME THE MONEY ,2.0,Tulane !,107.32,67.78,False,True,False,False,False
2014,2,7,Last  Place,3.0,Fuck Salt,67.78,87.06,True,False,False,False,False
2014,2,3,Fuck Salt,7.0,Last  Place,87.06,67.78,False,True,False,False,False
2014,2,10,Rectum Wreckers,12.0,NCS Champion,84.04,89.0,True,False,False,False,False
2014,2,12,NCS Champion,10.0,Rectum Wreckers,89.0,84.04,False,True,False,False,False
2014,3,8,ALL GORDON'S GO!,1.0,Off In Church,85.22,111.94,True,False,False,False,False
2014,3,1,Off In Church,8.0,ALL GORDON'S GO!,111.94,85.22,False,True,False,False,False
2014,3,6,I hope we Win,9.0,ODELL BECKHAM,103.8,71.86,True,True,False,False,False
2014,3,9,ODELL BECKHAM,6.0,I hope we Win,71.86,103.8,False,False,False,False,False
2014,3,5,Sanders could  save the 97%,11.0,WE R MARSHALL,83.44,109.12,True,False,False,False,False
2014,3,11,WE R MARSHALL,5.0,Sanders could  save the 97%,109.12,83.44,False,True,False,False,False
2014,3,7,Last  Place,2.0,Tulane !,57.5,101.32,True,False,False,False,False
2014,3,2,Tulane !,7.0,Last  Place,101.32,57.5,False,True,False,False,False
2014,3,4,SHOW ME THE MONEY ,10.0,Rectum Wreckers,84.3,77.1,True,True,False,False,False
2014,3,10,Rectum Wreckers,4.0,SHOW ME THE MONEY ,77.1,84.3,False,False,False,False,False
2014,3,3,Fuck Salt,12.0,NCS Champion,77.38,65.48,True,True,False,False,False
2014,3,12,NCS Champion,3.0,Fuck Salt,65.48,77.38,False,False,False,False,False
2014,4,1,Off In Church,9.0,ODELL BECKHAM,102.92,103.56,True,False,False,False,False
