Season,Week,Team ID,Team Name,Opponent ID,Opponent Name,Score,Opponent Score,Is Home,Is Winner,Is Playoff,Is Consolation,Is Bye Week
2013,1,1,Off In Church,9,Make It Rainey,72.62,120.26,True,False,False,False,False
2013,1,9,Make It Rainey,1,Off In Church,120.26,72.62,False,True,False,False,False
2013,1,5,La Migra,2,The Dawgs,109.92,110.1,True,False,False,False,False
2013,1,2,The Dawgs,5,La Migra,110.1,109.92,False,True,False,False,False
2013,1,10,Rectum Wreckers,6,The Final SKEET,140.12,87.82,True,True,False,False,False
2013,1,6,The Final SKEET,10,Rectum Wreckers,87.82,140.12,False,False,False,False,False
2013,1,8,The Return of Lynch Mob,7,Team HOONT,90.8,132.5,True,False,False,False,False
2013,1,7,Team HOONT,8,The Return of Lynch Mob,132.5,90.8,False,True,False,False,False
2013,1,3,Fuck Salt,4,THE KRAKEN AND THE KUCH ,118.48,89.58,True,True,False,False,False
2013,1,4,THE KRAKEN AND THE KUCH ,3,Fuck Salt,89.58,118.48,False,False,False,False,False
2013,2,2,The Dawgs,6,The Final SKEET,116.42,132.54,True,False,False,False,False
2013,2,6,The Final SKEET,2,The Dawgs,132.54,116.42,False,True,False,False,False
2013,2,7,Team HOONT,1,Off In Church,61.06,83.34,True,False,False,False,False
2013,2,1,Off In Church,7,Team HOONT,83.34,61.06,False,True,False,False,False
2013,2,4,THE KRAKEN AND THE KUCH ,9,Make It Rainey,87.2,89.18,True,False,False,False,False
2013,2,9,Make It Rainey,4,THE KRAKEN AND THE KUCH ,89.18,87.2,False,True,False,False,False
2013,2,8,The Return of Lynch Mob,5,La Migra,127.54,106.7,True,True,False,False,False
2013,2,5,La Migra,8,The Return of Lynch Mob,106.7,127.54,False,False,False,False,False
2013,2,3,Fuck Salt,10,Rectum Wreckers,94.48,102.28,True,False,False,False,False
2013,2,10,Rectum Wreckers,3,Fuck Salt,102.28,94.48,False,True,False,False,False
2013,3,7,Team HOONT,4,THE KRAKEN AND THE KUCH ,69.22,126.76,True,False,False,False,False
2013,3,4,THE KRAKEN AND THE KUCH ,7,Team HOONT,126.76,69.22,False,True,False,False,False
2013,3,2,The Dawgs,8,The Return of Lynch Mob,89.9,107.3,True,False,False,False,False
2013,3,8,The Return of Lynch Mob,2,The Dawgs,107.3,89.9,False,True,False,False,False
2013,3,6,The Final SKEET,3,Fuck Salt,83.06,59.14,True,True,False,False,False
2013,3,3,Fuck Salt,6,The Final SKEET,59.14,83.06,False,False,False,False,False
2013,3,1,Off In Church,5,La Migra,75.98,89.16,True,False,False,False,False
2013,3,5,La Migra,1,Off In Church,89.16,75.98,False,True,False,False,False
2013,3,9,Make It Rainey,10,Rectum Wreckers,87.0,98.86,True,False,False,False,False
2013,3,10,Rectum Wreckers,9,Make It Rainey,98.86,87.0,False,True,False,False,False
2013,4,8,The Return of Lynch Mob,3,Fuck Salt,111.3,126.76,True,False,False,False,False
2013,4,3,Fuck Salt,8,The Return of Lynch Mob,126.76,111.3,False,True,False,False,False
2013,4,5,La Migra,7,Team HOONT,117.64,85.18,True,True,False,False,False
2013,4,7,Team HOONT,5,La Migra,85.18,117.64,False,False,False,False,False
2013,4,10,Rectum Wreckers,4,THE KRAKEN AND THE KUCH ,131.84,132.84,True,False,False,False,False
2013,4,4,THE KRAKEN AND THE KUCH ,10,Rectum Wreckers,132.84,131.84,False,True,False,False,False
2013,4,1,Off In Church,2,The Dawgs,82.94,85.78,True,False,False,False,False
2013,4,2,The Dawgs,1,Off In Church,85.78,82.94,False,True,False,False,False
2013,4,9,Make It Rainey,6,The Final SKEET,121.74,76.88,True,True,False,False,False
2013,4,6,The Final SKEET,9,Make It Rainey,76.88,121.74,False,False,False,False,False
2013,5,5,La Migra,10,Rectum Wreckers,77.46,135.86,True,False,False,False,False
2013,5,10,Rectum Wreckers,5,La Migra,135.86,77.46,False,True,False,False,False
2013,5,8,The Return of Lynch Mob,1,Off In Church,89.44,84.64,True,True,False,False,False
2013,5,1,Off In Church,8,The Return of Lynch Mob,84.64,89.44,False,False,False,False,False
2013,5,3,Fuck Salt,9,Make It Rainey,108.28,83.26,True,True,False,False,False
2013,5,9,Make It Rainey,3,Fuck Salt,83.26,108.28,False,False,False,False,False
2013,5,7,Team HOONT,2,The Dawgs,75.34,133.84,True,False,False,False,False
2013,5,2,The Dawgs,7,Team HOONT,133.84,75.34,False,True,False,False,False
2013,5,4,THE KRAKEN AND THE KUCH ,6,The Final SKEET,84.14,108.14,True,False,False,False,False
2013,5,6,The Final SKEET,4,THE KRAKEN AND THE KUCH ,108.14,84.14,False,True,False,False,False
2013,6,9,Make It Rainey,2,The Dawgs,102.98,111.52,True,False,False,False,False
2013,6,2,The Dawgs,9,Make It Rainey,111.52,102.98,False,True,False,False,False
2013,6,6,The Final SKEET,7,Team HOONT,88.68,90.38,True,False,False,False,False
2013,6,7,Team HOONT,6,The Final SKEET,90.38,88.68,False,True,False,False,False
2013,6,4,THE KRAKEN AND THE KUCH ,8,The Return of Lynch Mob,70.24,127.98,True,False,False,False,False
2013,6,8,The Return of Lynch Mob,4,THE KRAKEN AND THE KUCH ,127.98,70.24,False,True,False,False,False
2013,6,3,Fuck Salt,5,La Migra,80.74,99.5,True,False,False,False,False
2013,6,5,La Migra,3,Fuck Salt,99.5,80.74,False,True,False,False,False
