Season,Week,Team ID,Team Name,Opponent ID,Opponent Name,Score,Opponent Score,Is Home,Is Winner,Is Playoff,Is Consolation,Is Bye Week
2017,1,8,THE LYNCH MOB RIDES AGAIN,5.0,"Maclin, you Son of a Bitch",78.58,77.52,True,True,False,False,False
2017,1,5,"Maclin, you Son of a Bitch",8.0,THE LYNCH MOB RIDES AGAIN,77.52,78.58,False,False,False,False,False
2017,1,9,It Ertz,1.0,Demaryius Stormborn,116.94,46.68,True,True,False,False,False
2017,1,1,Demaryius Stormborn,9.0,It Ertz,46.68,116.94,False,False,False,False,False
2017,1,6,Luck Died  For Our Sins,11.0,Adventures  of Action Johnson,38.14,135.44,True,False,False,False,False
2017,1,11,Adventures  of Action Johnson,6.0,Luck Died  For Our Sins,135.44,38.14,False,True,False,False,False
2017,1,4,sheparding  The hogdogs ,10.0,Rectum Wrecker$$$,70.94,72.2,True,False,False,False,False
2017,1,10,Rectum Wrecker$$$,4.0,sheparding  The hogdogs ,72.2,70.94,False,True,False,False,False
2017,1,7,Little  DeMarco Rubio,3.0,King of the Hill,54.86,94.86,True,False,False,False,False
2017,1,3,King of the Hill,7.0,Little  DeMarco Rubio,94.86,54.86,False,True,False,False,False
2017,1,2,The  Gurley Show,12.0,Quizz On Your Face,77.64,73.0,True,True,False,False,False
2017,1,12,Quizz On Your Face,2.0,The  Gurley Show,73.0,77.64,False,False,False,False,False
2017,2,5,"Maclin, you Son of a Bitch",1.0,Demaryius Stormborn,85.04,70.72,True,True,False,False,False
2017,2,1,Demaryius Stormborn,5.0,"Maclin, you Son of a Bitch",70.72,85.04,False,False,False,False,False
2017,2,11,Adventures  of Action Johnson,8.0,THE LYNCH MOB RIDES AGAIN,81.7,94.6,True,False,False,False,False
2017,2,8,THE LYNCH MOB RIDES AGAIN,11.0,Adventures  of Action Johnson,94.6,81.7,False,True,False,False,False
2017,2,6,Luck Died  For Our Sins,9.0,It Ertz,116.44,93.78,True,True,False,False,False
2017,2,9,It Ertz,6.0,Luck Died  For Our Sins,93.78,116.44,False,False,False,False,False
2017,2,10,Rectum Wrecker$$$,3.0,King of the Hill,96.86,79.38,True,True,False,False,False
2017,2,3,King of the Hill,10.0,Rectum Wrecker$$$,79.38,96.86,False,False,False,False,False
2017,2,12,Quizz On Your Face,4.0,sheparding  The hogdogs ,82.56,71.54,True,True,False,False,False
2017,2,4,sheparding  The hogdogs ,12.0,Quizz On Your Face,71.54,82.56,False,False,False,False,False
2017,2,2,The  Gurley Show,7.0,Little  DeMarco Rubio,100.72,83.74,True,True,False,False,False
2017,2,7,Little  DeMarco Rubio,2.0,The  Gurley Show,83.74,100.72,False,False,False,False,False
2017,3,11,Adventures  of Action Johnson,5.0,"Maclin, you Son of a Bitch",117.26,89.12,True,True,False,False,False
2017,3,5,"Maclin, you Son of a Bitch",11.0,Adventures  of Action Johnson,89.12,117.26,False,False,False,False,False
2017,3,1,Demaryius Stormborn,6.0,Luck Died  For Our Sins,59.54,82.52,True,False,False,False,False
2017,3,6,Luck Died  For Our Sins,1.0,Demaryius Stormborn,82.52,59.54,False,True,False,False,False
2017,3,8,THE LYNCH MOB RIDES AGAIN,9.0,It Ertz,68.92,110.36,True,False,False,False,False
